timestamp,visitorid,event,itemid,transactionid,datetime
1433193132535,1134473,view,396045,,2015-06-01 21:12:12.535
1433194696771,1314862,view,344224,,2015-06-01 21:38:16.771
1433220848630,467124,view,396318,,2015-06-02 04:54:08.630
1433218109710,1121229,view,370889,,2015-06-02 04:08:29.710
1433178802896,39027,view,26210,,2015-06-01 17:13:22.896
1433179934534,39027,view,190172,,2015-06-01 17:32:14.534
1433199768776,1246312,view,104261,,2015-06-01 23:02:48.776
1433209115422,595804,view,162525,,2015-06-02 01:38:35.422
1433189082370,1342843,view,55124,,2015-06-01 20:04:42.370
1433190391154,1125119,view,105246,,2015-06-01 20:26:31.154
1433195754745,394727,view,137042,,2015-06-01 21:55:54.745
1433195790617,394727,view,256473,,2015-06-01 21:56:30.617
1433195233961,1073611,view,882,,2015-06-01 21:47:13.961
1433194052408,452713,view,432152,,2015-06-01 21:27:32.408
1433223351370,954684,view,364230,,2015-06-02 05:35:51.370
1433139278262,37936,view,374633,,2015-06-01 06:14:38.262
1433139494781,292212,view,177506,,2015-06-01 06:18:14.781
1433183450114,96741,view,371448,,2015-06-01 18:30:50.114
1433183142526,937964,view,208939,,2015-06-01 18:25:42.526
1433180640508,111134,view,170286,,2015-06-01 17:44:00.508
1433178303793,641886,view,374613,,2015-06-01 17:05:03.793
1433179832114,111134,addtocart,170286,,2015-06-01 17:30:32.114
1433200014514,241917,view,19071,,2015-06-01 23:06:54.514
1433199542965,909636,view,87789,,2015-06-01 22:59:02.965
1433209936999,564087,view,84577,,2015-06-02 01:52:16.999
1433217056900,1242533,view,132637,,2015-06-02 03:50:56.900
1433198086389,1300606,view,232005,,2015-06-01 22:34:46.389
1433189930283,302375,view,128367,,2015-06-01 20:18:50.283
1433190656160,139266,view,339545,,2015-06-01 20:30:56.160
1433206250858,1244893,view,215024,,2015-06-02 00:50:50.858
1433184823726,71784,view,152349,,2015-06-01 18:53:43.726
1433200176899,1246312,view,104261,,2015-06-01 23:09:36.899
1433173879571,850365,view,174421,,2015-06-01 15:51:19.571
1433180629740,111134,view,170286,,2015-06-01 17:43:49.740
1433179726651,39027,view,271101,,2015-06-01 17:28:46.651
1433179825523,111134,view,170286,,2015-06-01 17:30:25.523
1433183419156,96741,view,371448,,2015-06-01 18:30:19.156
1433181577852,1127770,view,365193,,2015-06-01 17:59:37.852
1433170316321,747035,view,85460,,2015-06-01 14:51:56.321
1433212649222,1212576,view,31991,,2015-06-02 02:37:29.222
1433194303491,1363972,view,122219,,2015-06-01 21:31:43.491
1433179746399,39027,addtocart,271101,,2015-06-01 17:29:06.399
1433178639688,39027,view,26210,,2015-06-01 17:10:39.688
1433183870200,1125252,view,278272,,2015-06-01 18:37:50.200
1433211785977,1165912,view,272446,,2015-06-02 02:23:05.977
1433201058898,1264280,view,293998,,2015-06-01 23:24:18.898
1433219760132,553059,view,228128,,2015-06-02 04:36:00.132
1433219603486,560346,view,91755,,2015-06-02 04:33:23.486
1433182651189,752435,view,432567,,2015-06-01 18:17:31.189
1433183730997,1358525,view,224355,,2015-06-01 18:35:30.997
1433178960865,39027,view,57788,,2015-06-01 17:16:00.865
1433179618214,39027,view,453390,,2015-06-01 17:26:58.214
1433179649154,39027,view,57788,,2015-06-01 17:27:29.154
1433211326899,568818,view,298112,,2015-06-02 02:15:26.899
1433195894013,394727,view,256473,,2015-06-01 21:58:14.013
1433188499273,665732,view,252925,,2015-06-01 19:54:59.273
1433188503040,311751,view,194717,,2015-06-01 19:55:03.040
1433206193103,922711,view,393028,,2015-06-02 00:49:53.103
1433172306086,747035,view,155995,,2015-06-01 15:25:06.086
1433194391792,1273371,view,440095,,2015-06-01 21:33:11.792
1433221960808,919464,view,389849,,2015-06-02 05:12:40.808
1433221599821,919464,view,389849,,2015-06-02 05:06:39.821
1433139351971,292212,view,177506,,2015-06-01 06:15:51.971
1433179837068,111134,view,170286,,2015-06-01 17:30:37.068
1433210764056,614247,view,303631,,2015-06-02 02:06:04.056
1433189309594,87516,view,401259,,2015-06-01 20:08:29.594
1433190869394,665732,view,252925,,2015-06-01 20:34:29.394
1433189099571,1132067,view,247755,,2015-06-01 20:04:59.571
1433181592851,39027,view,271101,,2015-06-01 17:59:52.851
1433183467858,97867,view,181109,,2015-06-01 18:31:07.858
1433195936586,394727,view,256473,,2015-06-01 21:58:56.586
1433203543042,600697,view,346436,,2015-06-02 00:05:43.042
1433205237615,1258873,view,107155,,2015-06-02 00:33:57.615
1433206350341,1161557,view,432503,,2015-06-02 00:52:30.341
1433186705269,921175,view,300597,,2015-06-01 19:25:05.269
1433277257227,184719,view,243117,,2015-06-02 20:34:17.227
1433309925140,712183,view,408665,,2015-06-03 05:38:45.140
1433263535178,1387977,view,12755,,2015-06-02 16:45:35.178
1433264657602,1356610,view,174933,,2015-06-02 17:04:17.602
1433294111050,1011561,view,358230,,2015-06-03 01:15:11.050
1433256725099,925476,view,350860,,2015-06-02 14:52:05.099
1433283739098,219332,view,20407,,2015-06-02 22:22:19.098
1433289424071,919464,view,389849,,2015-06-02 23:57:04.071
1433293826171,1011561,view,269432,,2015-06-03 01:10:26.171
1433304381866,639023,view,108636,,2015-06-03 04:06:21.866
1433273351257,1100434,view,359290,,2015-06-02 19:29:11.257
1433266670770,722933,view,200894,,2015-06-02 17:37:50.770
1433265269926,39258,view,434653,,2015-06-02 17:14:29.926
1433266266606,814616,view,326213,,2015-06-02 17:31:06.606
1433309641986,712183,view,43458,,2015-06-03 05:34:01.986
1433309716655,765704,view,308006,,2015-06-03 05:35:16.655
1433309695518,765704,view,264861,,2015-06-03 05:34:55.518
1433304108980,355960,view,33265,,2015-06-03 04:01:48.980
1433307845498,151676,view,451336,,2015-06-03 05:04:05.498
1433238584624,1227666,view,268783,,2015-06-02 09:49:44.624
1433294083681,179545,view,120658,,2015-06-03 01:14:43.681
1433295623973,435371,view,371640,,2015-06-03 01:40:23.973
1433271615817,1294432,view,453990,,2015-06-02 19:00:15.817
1433283934916,268826,view,107020,,2015-06-02 22:25:34.916
1433277603489,278188,view,236109,,2015-06-02 20:40:03.489
1433277613578,278188,view,386358,,2015-06-02 20:40:13.578
1433275148384,729794,view,337741,,2015-06-02 19:59:08.384
1433289278853,1194421,view,460188,,2015-06-02 23:54:38.853
1433259029728,870979,view,338207,,2015-06-02 15:30:29.728
1433279593143,23980,view,93144,,2015-06-02 21:13:13.143
1433280527519,219332,view,88126,,2015-06-02 21:28:47.519
1433278192407,219332,view,313064,,2015-06-02 20:49:52.407
1433265072553,798176,view,232509,,2015-06-02 17:11:12.553
1433264604869,1356610,view,381881,,2015-06-02 17:03:24.869
1433293848885,1011561,view,182880,,2015-06-03 01:10:48.885
1433284903930,944560,view,433649,,2015-06-02 22:41:43.930
1433269248946,202148,view,185067,,2015-06-02 18:20:48.946
1433267097424,344163,view,347114,,2015-06-02 17:44:57.424
1433295347546,1048905,view,351005,,2015-06-03 01:35:47.546
1433309711191,765704,view,264861,,2015-06-03 05:35:11.191
1433309700716,765704,view,186420,,2015-06-03 05:35:00.716
1433283731057,268826,view,107020,,2015-06-02 22:22:11.057
1433270173878,241917,view,19071,,2015-06-02 18:36:13.878
1433301004222,625682,view,95808,,2015-06-03 03:10:04.222
1433287754522,1076172,view,137128,,2015-06-02 23:29:14.522
1433308367732,712183,view,339053,,2015-06-03 05:12:47.732
1433238576838,1227666,view,144140,,2015-06-02 09:49:36.838
1433244441020,88050,view,428554,,2015-06-02 11:27:21.020
